,production_budget,worldwide_gross
611,20000000,183097323
612,35000000,4651977
613,40000000,14358033
614,11000000,52929168
615,8000000,26199377
616,5000000,1526697
617,45000000,178100000
618,35000000,319700000
619,55000000,158500000
620,10000000,32100816
621,80000000,266824291
622,40000000,44948240
623,14400000,159157447
624,11000000,21171695
625,55000000,149022650
626,7000000,14231669
627,5000000,1050861
628,40000000,75505856
629,12500000,10725228
630,8000000,28876702
631,1200000,2832029
632,28000000,504050219
633,33000000,236500000
634,12000000,27281507
635,40000000,215862692
636,35000000,48169910
637,20000000,358994850
638,25000000,410900000
639,4000000,62546695
640,35000000,28391473
641,2000000,21000
642,1800000,673
643,14000000,155056263
644,800000,1001437
645,32000000,36299670
646,15000000,52189039
647,6500000,24103594
648,11000000,21502976
649,7000,2041928
650,12000000,46730578
651,21000000,42273609
652,35000000,4496583
653,15000000,9579068
654,13000000,27979399
655,22000000,10696210
656,15000000,63954968
657,13000000,1152117
658,3500000,27731527
659,65000000,255000000
660,42000000,20844907
661,44000000,353715317
662,85000000,137298489
663,42000000,270340892
664,8000000,22549338
665,28000000,39360491
666,20000000,153698625
667,14000000,27450453
668,25000000,10731997
669,3000000,15935068
670,6000000,3273588
671,15000000,39100956
672,34000000,32014993
673,6900000,7950889
674,3000000,3902679
675,12500000,12309980
676,63000000,1038812584
677,25000000,441286003
678,19000000,2119994
679,14600000,70906973
680,3000000,242623
681,7000000,40157856
682,25000000,321365567
683,45000000,187995859
684,26000000,201324422
685,25000000,56505065
686,11000000,9170214
687,22000000,25842377
688,50000000,16581575
689,40000000,31835600
690,50000000,38590458
691,10000000,18423914
692,40000000,24172899
693,62000000,207500000
694,30000000,51041856
695,12000000,107217396
696,10000000,3275585
697,45000000,112006296
698,13000000,7881335
699,8000000,8864699
700,9000000,4333569
701,14000000,13024170
702,50000000,119180938
703,45000000,358500000
704,20000000,11744960
705,55000000,679850637
706,79300000,987480140
707,70000000,131011757
708,63000000,25052000
709,45000000,57362581
710,100000000,365300000
711,45000000,117615211
712,18000000,351620129
713,10000000,126247
714,1500000,418953
715,4500000,242895809
716,55000000,212200000
717,28000000,102053581
718,25000000,28307092
719,1500000,5046118
720,45000000,94215000
721,18000000,5828466
722,30000000,283200000
723,8000000,212928762
724,8000000,18090181
725,700000,11768371
726,27000,3894240
727,20000000,13383747
728,55000000,196565669
729,40000000,14938149
730,20000000,305070
731,50000000,223564608
732,22000000,189800000
733,5000000,5438120
734,38000000,120000000
735,16000000,45284974
736,10000000,29317886
737,16000000,246400000
738,40000000,38087756
739,15000000,50003303
740,35000000,99423000
741,30000000,160502573
742,27000000,44342956
743,10500000,125169
744,25000000,4064333
745,13700000,56598476
746,15000000,529766
747,12000000,21089146
748,26000000,13738574
749,2500000,5683371
750,22000000,175516617
751,4000000,7555256
752,50000000,26097497
753,20000000,22119269
754,14000000,2461628
755,30000000,246100000
756,30000000,23998226
757,40000000,14942422
758,3500000,27936778
759,90000000,366101666
760,72000000,209045522
761,6000000,11784569
762,55000000,282300000
763,50000000,83306268
764,100000000,336529144
765,250000,2477155
766,85000000,113487912
767,65000000,334100000
768,28000000,31390587
769,25000000,22032635
770,23000000,141247413
771,75000000,127361412
772,35000000,113354449
773,60000000,104324083
774,45000000,35627222
775,1500000,20412216
776,175000000,264246220
777,22000000,110521733
778,6000000,34449356
779,20000000,122133227
780,24000000,669276
781,7000000,25532388
782,50000000,152022333
783,50000,10426506
784,40000000,37750754
785,30000000,328125643
786,20000000,27688744
787,5000000,15126948
788,32000000,18552460
789,50000000,67823573
790,55000000,347100000
791,30000000,212400000
792,50000000,10359006
793,50000000,9812870
794,30250000,115021008
795,6100000,2108367
796,20000000,32051917
797,14000000,19637147
798,4000000,49800000
799,16500000,134993774
800,62000000,107822813
801,60000000,356429941
802,68000000,77224232
803,52000000,110400000
804,30000000,364545516
805,55000000,159387195
806,11000000,2794056
807,11000000,2844379
808,65000000,262758310
809,58000000,87100000
810,45000000,34668249
811,92000000,18517322
812,4000000,4301000
813,29000000,168841459
814,31000000,106282604
815,18000000,4100000
816,11000000,83088295
817,9200000,4199334
818,60000000,100645801
819,10000,527
820,14500000,147542381
821,12500000,1412799
822,20000000,25732986
823,44000000,22730924
824,38000000,10229300
825,75000000,817400878
826,55000000,60209334
827,5900000,37831658
828,40000000,20278055
829,10000000,41004412
830,5000000,407488
831,47000000,12900000
832,18000000,2483790
833,7500000,36238752
834,8000000,34873513
835,15000000,55669466
836,8000000,5656388
837,55000000,122079192
838,12000000,4880941
839,7000000,16149180
840,39000000,37956589
841,45000000,36404841
842,10000000,3357324
843,4500000,7011317
844,2500000,34557416
845,35000000,1320043
846,25000000,10039566
847,13000000,2104439
848,32000000,152036382
849,25530000,30593313
850,80000000,457697994
851,18000000,26936265
852,57000000,104364680
853,32000000,4357406
854,9000000,36049108
855,80000000,158908290
856,20000000,34600000
857,47000000,102825796
858,100000000,234400000
859,100000000,325500000
860,5000000,12961389
861,55000000,273814019
862,50000000,113309743
863,75000000,336069511
864,45000000,17220599
865,45000000,20133326
866,1000000,1615787
867,30000000,19892205
868,3100000,71558971
869,40000000,152266007
870,25000000,32223424
871,25000000,36682170
872,2000000,304602
873,7000000,51204567
874,70000000,308700000
875,55000000,18582965
876,45000000,75854588
877,19000000,1353824
878,40000000,27682712
879,3500000,13795053
880,3000000,295493
881,65000000,148345997
882,50000000,25426861
883,45000000,58617334
884,3000000,2962051
885,25000000,51702929
886,67000000,18115927
887,30000000,181489203
888,300000,2525984
889,38000000,17378193
890,4500000,13417292
891,88000000,495700000
892,800000,5034794
893,13000000,26570048
894,2400000,5691854
895,44000000,165600852
896,200000,6618578
897,14000000,15171475
898,65000000,33447612
899,55000000,38564422
900,25000000,27572844
901,1300000,749741
902,80000000,250200000
903,42000000,41267469
904,35000000,231711151
905,4833610,34175000
906,60000000,129832389
907,46000000,150000000
908,5500000,36665191
909,20000000,26792700
910,46000000,100833145
911,7000000,98754000
912,80000000,101371017
913,50000000,274000000
914,36000000,13052741
915,23000000,12803305
916,21500000,22331846
917,15000000,173046663
918,12000000,63118386
919,55000000,151947179
920,18000000,7129670
921,15000000,76382
922,90000000,587790539
923,3000000,27788649
924,25000,2883661
925,5000000,353480
926,8000000,590817
927,45000000,2154540
928,4000000,2922988
929,36000000,50159144
930,35000000,6448817
931,18000000,67683989
932,50000000,50068310
933,26000000,1083350
934,35000000,65303052
935,35000000,2221994
936,3000000,4109095
937,27000000,60527873
938,10000000,12554569
939,45000000,302710615
940,20000000,35450113
941,90000000,140900000
942,32000000,3588602
943,250000,743216
944,90000000,169400000
945,250000,15155095
946,42000000,4408420
947,3000000,4002884
948,90000000,120100000
949,300000,42735
950,10000000,225933435
951,75000000,618638999
952,80000000,224117573
953,12000000,14010363
954,110000000,150468000
955,70000000,250700000
956,2700000,15600000
957,125000000,238317814
958,46000000,298923419
959,4000000,12836
960,1000000,542909
961,80000000,241200000
962,115000000,178200000
963,100000000,121100000
964,50000000,10561038
965,5000000,14843425
966,55000000,174463257
967,25000000,64594061
968,85000000,315268353
969,40000000,87949859
970,80000000,142783718
971,70000000,131445884
972,3500000,257938649
973,60000000,26673242
974,16000000,1686429
975,15000000,63706632
976,50000000,48169156
977,25000000,41076865
978,450000,450349
979,26000000,5000
980,95000000,263900000
981,85000000,35681080
982,35000000,126204977
983,35000000,83226569
984,50000000,62967368
985,18000000,16011975
986,7500000,43492389
987,60000000,33956608
988,55000000,11532774
989,15000000,43111725
990,5000000,7951247
991,57000000,153007424
992,17000000,125250091
993,36000000,12532777
994,38000000,6504442
995,12000000,220175
996,45000000,136998907
997,15000000,31070412
998,12000,413802
999,90000000,165900000
1000,28000000,8165213
1001,60000000,159356941
1002,53000000,139801290
1003,20000000,13801755
1004,40000000,45916769
1005,35000000,25078937
1006,30000000,51327406
1007,80000000,177993801
1008,60000000,160700000
1009,50000000,80369970
1010,40000000,58250151
1011,24000000,101363301
1012,20000000,10686841
1013,5000000,21277770
1014,200000000,2207615668
1015,110000000,339504276
1016,38000000,61894591
1017,50000000,314111923
1018,80000000,20841123
1019,28000000,5686694
1020,15000000,64252038
1021,12000000,74727492
1022,12500000,1612957
1023,25000000,22411948
1024,4000000,302204
1025,2300000,574838
1026,140000000,554600000
1027,70000000,19870567
1028,8000000,17394881
1029,2650000,16556
1030,25000000,56042592
1031,45000000,11203026
1032,5000000,2080693
1033,80000000,71485043
1034,60000000,152457863
1035,17000000,30331165
1036,73000000,50168294
1037,29000000,54045832
1038,500000,367582
1039,68000,33598
1040,27000000,27257061
1041,10000000,45779
1042,80000000,136047317
1043,60000000,32983332
1044,15000000,11156471
1045,10000000,13835130
1046,35000000,56968169
1047,7000000,306715
1048,65000000,39017984
1049,20000000,55576699
1050,11900000,48856
1051,6000000,31716953
1052,27000000,10341093
